BPM	105					
index	1					
Background	Forest					
Name	MyCoolTest					
songFileName	100Bills					
GroundSpeed	0.2					
						
						
TL	BL	TR	BR	BosSt	Atk ch	special
3	3	3	3	3		
0	0	0	0	0		
0	0	0	0	0		
1	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
2	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
3	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	1	0	1	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	2	0	2	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	3	0	3	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
1	1	1	0	2		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
2	2	2	0	0		
0	0	0	0	0		
3	3	3	0	0		
0	0	0	0	0		
1	0	1	1	0		
0	0	0	0	0		
2	0	2	2	0		
0	0	0	0	0		
3	0	3	3	0		
0	0	0	0	0		
0	1	0	1	0		
0	0	0	0	0		
1	2	1	2	0		
0	3	0	3	0		
2	0	2	0	0		
0	0	0	0	0		
3	1	3	1	0		
0	0	0	0	0		
0	2	0	2	0		
0	0	0	0	0		
0	3	0	3	0		
0	0	0	1	0		
0	0	1	0	0		
1	0	0	0	0		
2	0	2	2	0		
0	0	0	0	0		
1	1	1	3	0		
0	0	0	0	0		
2	2	2	0	0		
0	0	0	0	0		
3	3	3	0	0		
0	0	0	0	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
0	3	0	3	0		
0	0	0	0	0		
D	0	0	A	0		
0	0	0	0	0		
1	0	0	1	0		
0	0	0	0	0		
2	A	D	2	0		
0	0	0	0	0		
3	1	1	3	0		
0	0	0	0	0		
M	2	2	M	0		
0	0	0	0	0		
1	3	3	1	0		
0	0	0	0	0		
2	M	M	2	0		
0	0	0	0	0		
3	1	0	3	0		
0	0	0	0	0		
0	2	1	0	0		
0	0	0	0	0		
0	3	2	0	0		
0	0	0	0	0		
1	0	3	0	0		
0	0	1	0	0		
2	0	0	0	0		
0	0	0	0	0		
3	D	2	A	0		
0	0	0	0	0		
0	1	3	1	0		
0	0	0	0	0		
0	2	0	2	0		
0	3	0	3	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
1	3	1	3	0		
0	0	0	0	0		
2	1	2	1	0		
3	0	0	0	0		
0	2	3	2	0		
0	0	0	0	0		
0	3	0	3	0		
1	0	0	0	0		
0	1	0	0	0		
2	0	1	0	0		
0	2	0	1	0		
3	0	2	0	0		
0	3	0	2	0		
0	0	3	0	0		
1	0	0	1	0		
2	0	0	0	0		
3	0	0	2	0		
0	0	0	0	0		
0	0	0	3	0		
1	0	0	0	0		
2	0	0	0	0		
3	0	1	0	0		
0	0	2	0	0		
0	1	3	0	0		
0	2	0	0	0		
0	3	0	1	0		
1	0	0	2	0		
2	0	0	3	0		
3	0	0	0	0		
D	A	D	A	0		
1	0	0	0	0		
2	0	0	0	0		
3	1	1	0	0		
0	2	2	0	0		
1	3	3	1	0		
2	0	0	2	0		
3	0	0	3	0		
M	M	M	M	0		
1	1	1	1	0		
0	0	0	0	0		
0	2	2	2	0		
0	3	3	3	0		
2	0	0	0	0		
3	0	0	0	0		
0	0	0	0	0		
D	A	D	A	0		
0	1	0	0	0		
0	2	0	0	0		
1	3	0	1	0		
2	0	0	2	0		
3	0	1	3	0		
0	0	2	0	0		
0	0	3	0	0		
M	M	M	M	0		
0	0	0	3	0		
1	0	0	0	0		
2	0	0	0	0		
3	0	1	0	0		
0	0	2	0	0		
0	1	3	0	0		
0	2	0	0	0		
0	3	0	1	0		
0	0	0	2	0		
0	0	0	3	0		
1	0	1	0	0		
2	1	0	1	0		
3	0	2	0	0		
0	2	0	2	0		
0	0	3	0	0		
0	3	0	3	0		
1	0	0	0	0		
0	0	1	0	0		
2	1	0	0	0		
0	0	2	1	0		
3	2	0	0	0		
0	0	3	2	0		
0	3	0	0	0		
0	0	0	3	0		
1	1	0	0	0		
2	2	1	1	0		
3	3	0	0	0		
0	0	2	2	0		
1	1	3	3	0		
2	2	1	1	0		
3	3	0	0	0		
0	0	2	2	0		
0	0	1	1	0		
1	1	2	2	0		
0	0	3	3	0		
2	2	0	0	0		
3	3	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
